job_id,title,company,skills_required,category,description,location,experience_required,education_required,salary_range,salary_lpa,job_type,openings,posted_days_ago
1,Software Engineer,TCS,"Python, Java, SQL, Git, REST APIs",Software Engineering,Develop and maintain scalable backend services. Collaborate with cross-functional teams.,Bangalore,3-5 years,M.Tech,10-18 LPA,10.9,Full-time,4,4
2,Backend Developer,Infosys,"Node.js, Express, MongoDB, Docker, REST APIs",Software Engineering,Build robust APIs and microservices. Optimize database queries.,Hyderabad,3-5 years,B.Tech,10-18 LPA,10.8,Remote,7,1
3,Full Stack Developer,Wipro,"React, Node.js, PostgreSQL, AWS, Docker",Software Engineering,Design and implement end-to-end web applications using modern tech stack.,Pune,1-3 years,B.Tech,5-10 LPA,5.5,Remote,10,0
4,Java Developer,HCL Technologies,"Java, Spring Boot, Hibernate, MySQL, Maven",Software Engineering,"Develop enterprise Java applications. Write clean, testable code.",Chennai,3-5 years,BCA,10-18 LPA,11.6,Full-time,8,18
5,Python Developer,Capgemini,"Python, Django, Flask, PostgreSQL, Redis",Software Engineering,Build Python-based web applications and automation scripts.,Mumbai,3-5 years,B.Tech,10-18 LPA,16.5,Full-time,7,10
6,Software Developer,Tech Mahindra,"C++, Java, Linux, Git, Agile",Software Engineering,Develop software components for enterprise products.,Noida,3-5 years,M.Tech,10-18 LPA,11.2,Full-time,2,12
7,Backend Engineer,Freshworks,"Golang, Kubernetes, gRPC, PostgreSQL",Software Engineering,Build high-performance backend systems serving millions of users.,Chennai,1-3 years,M.Tech,5-10 LPA,6.8,Remote,5,25
8,API Developer,Mphasis,"REST APIs, Python, Flask, OAuth, Swagger",Software Engineering,Design and implement RESTful APIs for client-facing products.,Bangalore,1-3 years,B.Tech,5-10 LPA,8.6,Hybrid,2,17
9,Software Engineer II,Zoho,"Java, Spring, MySQL, Redis, Kafka",Software Engineering,Build scalable SaaS products used by global customers.,Chennai,3-5 years,M.Tech,10-18 LPA,16.6,Remote,4,22
10,Systems Engineer,L&T Technology,"C, Linux, Embedded Systems, RTOS",Software Engineering,Develop embedded software for industrial automation solutions.,Mysore,1-3 years,B.Tech,5-10 LPA,5.2,Full-time,2,27
11,Applications Developer,Oracle,"PL/SQL, Java, Oracle DB, REST",Software Engineering,Develop Oracle cloud applications and integrations.,Hyderabad,1-3 years,BCA,5-10 LPA,9.3,Full-time,8,20
12,Software Developer,Mindtree,"Python, Angular, MongoDB, Azure",Software Engineering,Implement features for cloud-native enterprise applications.,Bangalore,3-5 years,M.Tech,10-18 LPA,11.3,Full-time,5,22
